,0,1
ShowingInstructions,"Qui dolor enim perferendis. Sed provident voluptates porro. Placeat autem sequi occaecati.
 	Eius non fugit velit ad ab. Dolore asperiores ut enim ea suscipit sed earum. Dolore corporis minus omnis ut beatae non rerum. Distinctio ut sequi ullam ut deserunt debitis.
 	Consequuntur ut aperiam animi et at corrupti. Id voluptates dolores voluptas qui commodi tempore dolores. Sint aut eaque dicta quasi consequatur. Quisquam in omnis et et assumenda distinctio delectus in. Eum dolorum accusantium mollitia dolorem.
 	Dolores consectetur et id temporibus. Harum possimus voluptate dolor laudantium sit in esse aut. Et ipsum nostrum unde rerum veritatis. Et consequatur officiis exercitationem. Iste sunt eaque cum animi ea eos sit expedita.","Impedit rerum aut rem. Tempore sit ipsam voluptatibus illo voluptatem nisi sequi ipsam. Provident labore sint soluta.
 	Voluptatem eligendi optio voluptatem reprehenderit neque voluptatum nihil omnis. Nostrum consectetur natus quae magni recusandae est. Numquam fugiat est tempora aut quia. Sunt deserunt asperiores veniam.
 	Iure non harum et eligendi. Nihil sed neque voluptates qui deserunt aut. Qui dolore et exercitationem suscipit.
 	Quia atque deserunt ut autem explicabo amet. Quia similique ipsum rerum dolores. Est eius quam natus."
SignOnPropertyYN,True,True
Skirt,,
SourceSystemID,,
SourceSystemKey,,
SourceSystemName,,
SpaFeatures,,
SpecialLicenses,,
SpecialListingConditions,"['Standard', 'REO']",['Standard']
StandardStatus,Active,Active
StateOrProvince,CA,CA
StateRegion,,
StatusChangeTimestamp,2018-05-11T20:53:59.137Z,2018-05-11T20:53:43.258Z
Stories,1,1
StoriesTotal,3,3
StreetAdditionalInfo,,
StreetDirPrefix,,
StreetDirSuffix,,
StreetName,15th St,15th St
StreetNumber,1515,1515
StreetNumberNumeric,,
StreetSuffix,,
StreetSuffixModifier,,
StructureType,,
SubAgencyCompensation,,
SubAgencyCompensationType,,
SubdivisionName,nam,sit
SuppliesExpense,,
SyndicateTo,"['Zillow', 'Trulia']","['Zillow', 'Trulia', 'hotspads.com']"
SyndicationRemarks,,
TaxAnnualAmount,557114,466948
TaxAssessedValue,204492,307604
TaxBlock,Lot 69 of Block 14 of Tract 691 of New Ezra,Lot 90 of Block 5 of Tract 99 of Roobmouth
TaxBookNumber,,
TaxExemptions,,
TaxLegalDescription,"Occaecati velit corrupti dolor dolore error. Beatae amet facere ipsam accusantium. Provident non est beatae eum quo officia.
 	Amet et debitis sit vitae ipsa. Corporis sit iste laudantium non illum nemo recusandae. Rem saepe mollitia quo consectetur repellendus. Qui necessitatibus laudantium ducimus ratione odit.","In facilis velit labore natus. Sit molestias minus est non earum. Officiis enim cumque error ut perspiciatis libero. Iure quod illum facere ut rerum maxime.
 	Assumenda laboriosam omnis quis corporis ut ullam laborum exercitationem. Repellendus commodi consequatur et amet consequatur tempore quibusdam. Qui sunt ut cupiditate."
TaxLot,Lot 94 of Block 46 of Tract 2301 of Lake Rettashire,Lot 86 of Block 4 of Tract 3163 of Luluburgh
TaxMapNumber,,
TaxOtherAnnualAssessmentAmount,,
TaxParcelLetter,,
TaxStatusCurrent,,
TaxTract,Lot 7 of Block 81 of Tract 2331 of Ginoburgh,Lot 41 of Block 82 of Tract 1924 of Auerberg
TaxYear,2017,2017
Telephone,['Installed'],['Installed']
TenantPays,,
Topography,,
TotalActualRent,,
Township,,
TransactionBrokerCompensation,,
TransactionBrokerCompensationType,,
TrashExpense,,
UnitNumber,#162,#978
UnitsFurnished,,
UnparsedAddress,"1515 15th St, San Francisco, CA 94103","1515 15th St, San Francisco, CA 94103"
Utilities,,
VacancyAllowance,,
VacancyAllowanceRate,,
Vegetation,,
VideosChangeTimestamp,,
VideosCount,,
View,"['View', 'Lake View']","['View', 'Lake View']"
ViewYN,True,True
VirtualTourURLBranded,,
VirtualTourURLUnbranded,,
WalkScore,,
Walkscore,20,72
WaterBodyName,,
WaterSewerExpense,,
WaterSource,"['Municipal', 'Irrigation District', 'Private Utility']",['Municipal']
WaterfrontFeatures,,
WaterfrontYN,False,True
WindowFeatures,,
WithdrawnDate,,
WoodedArea,,
WorkmansCompensationExpense,,
YearBuilt,1954,1968
YearBuiltDetails,Quaerat tenetur ullam repellendus. Nostrum voluptates nobis illo eos est accusantium. Alias molestias quia aliquam reprehenderit autem dolorum consequatur.,Veritatis ut tempore facere dolore officia optio. Error soluta qui eaque. Ipsam suscipit nulla minima. Deleniti dolorem veritatis maiores vel ullam.
YearBuiltEffective,,
YearBuiltSource,Estimate,Assessor
YearEstablished,,
YearsCurrentOwner,,
Zoning,R-1,C-1
ZoningDescription,Agricultural,Agricultural
distanceFrom,0.72129196493559,0.723033867454363
url,https://rets.io/api/v2/test_sf/listings/P_5af602e7e489933bc82800f5,https://rets.io/api/v2/test_sf/listings/P_5af602d7e489933bc827d759
