,PropertyLocation,TotalValue,RecordingDate,SQFTmain,Units,Bedrooms,Bathrooms,EffectiveYearBuilt,townhouse,pool,condo,pud,owned
1901,21623 NEWTON CT  SANTA CLARITA CA  91350,$499000.00,20160722,1304,1,3,3,1988,no,no,no,no,no
1902,21501 SUTTERS MILL CT  SAUGUS CA  91390,$490000.00,20160722,1847,1,4,3,1999,no,no,no,no,no
1903,28465 OLD SPANISH TRL  SAUGUS CA  91390,$450000.00,20160722,1847,1,3,3,2000,no,no,no,no,no
1904,28669 PLACERVIEW TRL  SAUGUS CA  91390,$509900.00,20160727,2623,1,3,3,2001,no,no,no,no,no
1905,29121 SINGING WOOD DR  SAUGUS CA  91390,$675000.00,20160729,3374,1,5,3,2000,no,no,no,no,no
1906,29110 SINGING WOOD DR  SAUGUS CA  91390,$670099.00,20160722,3094,1,5,3,2000,no,no,no,no,no
1907,28951 HIGH SIERRA TRL  SANTA CLARITA CA  91390,$601800.00,20160725,2553,1,4,3,2000,no,no,no,no,no
1908,29185 VALLEY OAK PL  SAUGUS CA  91390,$853444.00,20160728,3436,1,4,4,2003,no,yes,no,no,no
1909,28428 AGAJANIAN DR  SANTA CLARITA CA  91390,$725000.00,20160726,3011,1,3,3,2002,no,yes,no,no,no
1910,28367 HIDDEN HILLS DR  SANTA CLARITA CA  91390,$720000.00,20160726,3219,1,4,3,2003,no,yes,no,no,no
1911,28905 MIRADA CIRCULO  SANTA CLARITA CA  91354,$384094.00,20160728,2021,1,3,3,2004,no,no,no,yes,no
1912,24112 JOSHUA DR  SANTA CLARITA CA  91354,$485000.00,20160727,1941,1,4,3,2004,no,no,no,yes,no
1913,29220 VIA ESTANCIA  SANTA CLARITA CA  91354,$684000.00,20160729,2577,1,5,4,2004,no,yes,no,no,no
1914,24029 VIA CRESTA  SANTA CLARITA CA  91354,$640000.00,20160728,2664,1,5,3,2003,no,no,no,no,no
1915,29045 DISCOVERY RIDGE DR  SAUGUS CA  91390,$716618.00,20160726,3720,1,6,5,2004,no,yes,no,no,no
1916,29266 ORION LN  SAUGUS CA  91390,$656000.00,20160726,2886,1,4,3,2004,no,no,no,no,no
1917,29297 DISCOVERY RIDGE DR  SAUGUS CA  91390,$699900.00,20160727,2829,1,4,3,2004,no,no,no,no,no
1918,22229 EVENING STAR CT  SAUGUS CA  91390,$730000.00,20160729,3720,1,6,5,2005,no,no,no,no,no
1919,30404 MALLORCA PL  CASTAIC CA  91384,$660000.00,20160725,3199,1,4,3,2000,no,yes,no,no,no
1920,VAC/AVE L/VIC 87TH STW  LANCASTER CA  93536,$36000.00,20160722,0,0,0,0,0,no,no,no,no,no
1921,VAC/AVE A/VIC 164 STW  FAIRMONT CA  93536,$8670.00,20160722,0,0,0,0,0,no,no,no,no,no
1922,VAC/COR AVE B8/(156W) FUT ST  FAIRMONT CA  93536,$5500.00,20160727,0,0,0,0,0,no,no,no,no,no
1923,VAC/VIC AVE B4/65 STW  CALICHE CA  93536,$17000.00,20160728,0,0,0,0,0,no,no,no,no,no
1924,28909 DUBOIS ST  VAL VERDE CA  91384,$365000.00,20160722,1200,1,3,3,1990,no,no,no,no,no
1925,29648 SILVER ST  VAL VERDE CA  91384,$365000.00,20160725,1224,1,3,3,1988,no,no,no,no,no
1926,31249 DELWOOD ST  VAL VERDE CA  91384,$354000.00,20160727,1311,1,3,2,1991,no,no,no,no,no
1927,25914 W AVENUE B  LANCASTER CA  93536,$169000.00,20160722,1410,1,3,2,1991,no,no,no,no,no
1928,VAC/(254W)KINGSREST/VIC AVE C14  FAIRMONT CA  93536,$12900.00,20160728,0,0,0,0,0,no,no,no,no,no
1929,25765 KINGSREST AVE  LANCASTER CA  93536,$235400.00,20160728,1985,1,3,2,2006,no,no,no,no,no
1930,43111 260TH ST E  LANCASTER CA  93535,$40000.00,20160729,480,1,0,0,1958,no,no,no,no,no
1931,46607 172ND ST E  LANCASTER CA  93535,$68000.00,20160722,1316,1,3,2,1970,no,no,no,no,no
1932,501 W 64TH ST  INGLEWOOD CA  90302,$758437.00,20160721,1720,1,3,2,1951,no,no,no,no,no
1933,140 W ELLIS AVE  INGLEWOOD CA  90302,$372075.00,20160721,1702,1,3,3,1970,no,no,no,no,no
1934,6211 OVERHILL DR  LOS ANGELES CA  90043,$89935.00,20160729,3362,3,6,6,1963,no,no,no,no,no
1935,4313 W 60TH ST  LOS ANGELES CA  90043,$548000.00,20160721,1436,1,3,2,1930,no,no,no,no,no
1936,4420 W 61ST ST  LOS ANGELES CA  90043,$735000.00,20160728,1798,1,3,2,1932,no,no,no,no,no
1937,4113 W 62ND ST  LOS ANGELES CA  90043,$466000.00,20160725,1096,1,2,2,1927,no,no,no,no,no
1938,4247 W 63RD ST  LOS ANGELES CA  90043,$730000.00,20160728,1415,1,3,2,1950,no,no,no,no,no
1939,3605 W 58TH PL  LOS ANGELES CA  90043,$151451.00,20160726,3643,5,5,5,0,no,no,no,no,no
1940,5821 WEST BLVD  LOS ANGELES CA  90043,$140582.00,20160726,3643,5,5,5,0,no,no,no,no,no
1941,5811 WEST BLVD  LOS ANGELES CA  90043,$140582.00,20160726,3643,5,5,5,0,no,no,no,no,no
1942,3709 W 59TH ST  LOS ANGELES CA  90043,$643000.00,20160722,1570,1,3,2,1959,no,no,no,no,no
1943,6122 S RIMPAU BLVD  LOS ANGELES CA  90043,$635000.00,20160722,1610,1,3,2,1927,no,no,no,no,no
1944,3123 W 59TH PL  LOS ANGELES CA  90043,$310000.00,20160722,843,1,2,1,1922,no,no,no,no,no
1945,5834 7TH AVE  LOS ANGELES CA  90043,$345866.00,20160728,1385,1,3,3,1948,no,no,no,no,no
1946,5911 5TH AVE  LOS ANGELES CA  90043,$365000.00,20160726,1415,1,3,2,1930,no,no,no,no,no
1947,5907 3RD AVE  LOS ANGELES CA  90043,$270561.00,20160728,1332,1,3,2,1930,no,no,no,no,no
1948,6115 S VICTORIA AVE  LOS ANGELES CA  90043,$56562.00,20160722,3254,4,6,4,1924,no,no,no,no,no
1949,3308 W 63RD ST  LOS ANGELES CA  90043,$275000.00,20160728,884,1,2,1,1923,no,no,no,no,no
1950,2909 HYDE PARK BLVD  LOS ANGELES CA  90043,$255000.00,20160721,860,1,2,1,1925,no,no,no,no,no
1951,6519 4TH AVE  LOS ANGELES CA  90043,$213291.00,20160721,1113,1,3,1,1927,no,no,no,no,no
1952,6702 4TH AVE  LOS ANGELES CA  90043,$425000.00,20160725,1988,1,5,2,1975,no,no,no,no,no
1953,2507 W 73RD ST  LOS ANGELES CA  90043,$376665.00,20160727,2160,2,4,2,1980,no,no,no,no,no
1954,2307 W 74TH ST  LOS ANGELES CA  90043,$439000.00,20160725,1180,1,2,1,1927,no,no,no,no,no
1955,3010 W 77TH ST  INGLEWOOD CA  90305,$580000.00,20160726,2118,1,4,1,1942,no,no,no,no,no
1956,2903 W 78TH ST  INGLEWOOD CA  90305,$318308.00,20160728,1536,1,3,2,1929,no,no,no,no,no
1957,2916 W 84TH PL  INGLEWOOD CA  90305,$414000.00,20160721,1255,1,2,1,1940,no,no,no,no,no
1958,8259 PARK CIR  INGLEWOOD CA  90305,$179576.00,20160725,2167,1,4,3,1951,no,yes,no,no,no
1959,8405 WEST BLVD  INGLEWOOD CA  90305,$424576.00,20160729,1065,1,2,1,1941,no,no,no,no,no
1960,7216 9TH AVE  LOS ANGELES CA  90043,$160000.00,20160721,788,1,2,1,1925,no,no,no,no,no
1961,965 E 68TH ST  INGLEWOOD CA  90302,$707399.00,20160727,29580,3,7,6,1966,no,no,no,no,no
1962,900 E 68TH ST  INGLEWOOD CA  90302,$352783.00,20160728,1165,1,3,2,1940,no,no,no,no,no
1963,738 E 65TH ST  INGLEWOOD CA  90302,$460000.00,20160721,1078,1,3,2,1977,no,no,no,no,no
1964,375 E HILLSDALE ST  INGLEWOOD CA  90302,$310677.00,20160721,1008,1,2,1,1954,no,no,no,no,no
1965,501 MARLBOROUGH AVE  INGLEWOOD CA  90302,$2250000.00,20160726,12424,12,24,14,1964,no,no,no,no,no
1966,347 WARREN LN  INGLEWOOD CA  90302,$106512.00,20160728,722,1,2,1,1927,no,no,no,no,no
1967,305 WARREN LN  INGLEWOOD CA  90302,$515000.00,20160721,622,1,2,2,1945,no,no,no,no,no
1968,"315 N HILLCREST BLVD, NO 16  INGLEWOOD CA  90301",$183433.00,20160729,960,1,2,2,1963,no,no,no,no,no
1969,878 W BEACH AVE  INGLEWOOD CA  90302,$200214.00,20160725,720,1,2,1,1949,no,no,no,no,no
1970,"805 GLENWAY DR, APT 0313  INGLEWOOD CA  90302",$229000.00,20160727,892,1,2,2,1970,no,no,yes,no,no
1971,719 CORY DR  INGLEWOOD CA  90302,$285156.00,20160725,972,1,2,1,1953,no,no,no,no,no
1972,831 AUSTIN AVE  INGLEWOOD CA  90302,$840000.00,20160729,4041,5,6,5,1953,no,no,no,no,no
1973,"805 INDUSTRIAL AVE, 16  INGLEWOOD CA  90302",$200000.00,20160729,986,1,2,2,1977,no,no,no,no,no
1974,"550 W REGENT ST, NO 101  INGLEWOOD CA  90301",$115995.00,20160725,987,1,2,2,1977,no,no,no,no,no
1975,317 S INGLEWOOD AVE  INGLEWOOD CA  90301,$377282.00,20160721,1394,1,3,2,1930,no,no,no,no,no
1976,4328 W 58TH PL  LOS ANGELES CA  90043,$685000.00,20160728,1306,1,3,2,1949,no,no,no,no,no
1977,4047 W 59TH PL  LOS ANGELES CA  90043,$655000.00,20160721,2177,1,4,2,1952,no,no,no,no,no
1978,6034 CONDON AVE  LOS ANGELES CA  90056,$1450000.00,20160722,4574,1,5,5,1956,no,yes,no,no,no
1979,335 W REGENT ST  INGLEWOOD CA  90301,$89530.00,20160725,1818,3,3,3,1925,no,no,no,no,no
1980,109 N EASTWOOD AVE  INGLEWOOD CA  90301,$534049.00,20160721,4744,5,10,5,1986,no,no,no,no,no
1981,105 N EASTWOOD AVE  INGLEWOOD CA  90301,$428487.00,20160721,5292,5,11,10,1964,no,no,no,no,no
1982,"114 E HILLCREST BLVD, UNIT   8  INGLEWOOD CA  90301",$125128.00,20160721,1141,1,2,2,1968,no,no,no,no,no
1983,712 LARCH ST  INGLEWOOD CA  90301,$305000.00,20160729,686,1,2,1,1920,no,no,no,no,no
1984,621 ELM AVE  INGLEWOOD CA  90301,$400000.00,20160729,965,1,2,1,1926,no,no,no,no,no
1985,434 W HILLCREST BLVD  INGLEWOOD CA  90301,$304856.00,20160729,1378,1,3,2,1959,no,no,no,no,no
1986,626 S EUCALYPTUS AVE  INGLEWOOD CA  90301,$312030.00,20160722,1190,1,2,1,1945,no,no,no,no,no
1987,4805 W 95TH ST  INGLEWOOD CA  90301,$380567.00,20160722,969,1,2,1,1950,no,no,no,no,no
1988,1117 MYRTLE AVE  INGLEWOOD CA  90301,$134735.00,20160727,1216,1,2,1,1932,no,no,no,no,no
1989,"3500 W MANCHESTER BLVD, NO 418  INGLEWOOD CA  90305",$278445.00,20160725,1889,1,3,3,1967,no,no,no,yes,no
1990,"3860 AMBERLY DR, J  INGLEWOOD CA  90305",$233002.00,20160728,952,1,2,2,1986,no,no,yes,no,no
1991,"8726 BECKENHAM LN, NO G  INGLEWOOD CA  90305",$220344.00,20160725,1199,1,2,2,1986,no,no,yes,no,no
1992,"8715 WEYBRIDGE PL, L  INGLEWOOD CA  90305",$320000.00,20160722,845,1,2,1,1987,no,no,yes,no,no
1993,8701 S VAN NESS AVE  INGLEWOOD CA  90305,$525000.00,20160728,2400,4,4,4,1941,no,no,no,no,no
1994,9008 S 2ND AVE  INGLEWOOD CA  90305,$614200.00,20160727,1797,1,3,2,1942,no,no,no,no,no
1995,9527 S 4TH AVE  INGLEWOOD CA  90305,$449000.00,20160728,1777,1,4,1,1942,no,no,no,no,no
1996,9532 S 6TH AVE  INGLEWOOD CA  90305,$616000.00,20160728,2775,1,4,3,1965,no,no,no,no,no
1997,9817 S 8TH AVE  INGLEWOOD CA  90305,$71397.00,20160725,1520,1,3,2,1945,no,no,no,no,no
1998,2217 W 111TH ST  INGLEWOOD CA  90303,$453700.00,20160721,1438,1,3,2,1956,no,no,no,no,no
1999,2619 W 112TH ST  INGLEWOOD CA  90303,$350141.00,20160727,1474,1,4,2,1954,no,no,no,no,no
2000,10619 YUKON AVE  INGLEWOOD CA  90303,$286796.00,20160729,1429,2,3,2,1974,no,no,no,no,no
2001,3900 W 110TH ST  INGLEWOOD CA  90303,$221851.00,20160726,1173,1,2,2,1958,no,no,no,no,no
2002,11027 YUKON AVE  INGLEWOOD CA  90303,$336600.00,20160725,846,1,2,1,1941,no,no,no,no,no
2003,3656 W 113TH ST  INGLEWOOD CA  90303,$577196.00,20160729,1820,3,3,3,1952,no,no,no,no,no
2004,4077 W 103RD ST  INGLEWOOD CA  90304,$449900.00,20160728,1404,2,2,2,1953,no,no,no,no,no
2005,10217 S GREVILLEA AVE  INGLEWOOD CA  90304,$280000.00,20160725,1430,2,4,2,1948,no,no,no,no,no
2006,11321 BURIN AVE  INGLEWOOD CA  90304,$257236.00,20160728,874,1,2,1,1952,no,no,no,no,no
2007,4702 W 132ND ST  HAWTHORNE CA  90250,$214012.00,20160722,1272,1,3,1,1952,no,no,no,no,no
2008,4659 W 135TH ST  HAWTHORNE CA  90250,$339190.00,20160722,1260,3,2,2,1940,no,no,no,no,no
2009,4503 W 131ST ST  HAWTHORNE CA  90250,$102615.00,20160728,1956,1,4,2,1972,no,no,no,no,no
2010,4446 W 137TH PL  HAWTHORNE CA  90250,$631310.00,20160728,5047,4,9,9,1982,no,no,no,no,no
2011,13103 WASHINGTON AVE  HAWTHORNE CA  90250,$266146.00,20160722,1176,1,3,1,1953,no,no,no,no,no
2012,4334 W 139TH ST  HAWTHORNE CA  90250,$752049.00,20160728,2690,2,5,3,1965,no,no,no,no,no
2013,4145 W 138TH ST  HAWTHORNE CA  90250,$612000.00,20160728,2181,2,4,2,1969,no,no,no,no,no
2014,12046 YORK AVE  HAWTHORNE CA  90250,$485000.00,20160721,1120,2,3,2,1947,no,no,no,no,no
2015,"11716 BIRCH AVE, APT 000A  HAWTHORNE CA  90250",$855000.00,20160721,3780,4,8,4,1964,no,no,no,no,no
2016,11824 BIRCH AVE  HAWTHORNE CA  90250,$598000.00,20160728,2951,1,5,3,2001,no,no,no,no,no
2017,3820 W 119TH ST  HAWTHORNE CA  90250,$384624.00,20160728,2165,2,5,3,1975,no,no,no,no,no
2018,3702 W 126TH ST  HAWTHORNE CA  90250,$652537.00,20160722,4800,3,6,4,1989,no,no,no,no,no
2019,12501 FONTHILL AVE  HAWTHORNE CA  90250,$286477.00,20160725,1075,1,3,1,1959,no,no,no,no,no
2020,13921 YUKON AVE  HAWTHORNE CA  90250,$4272808.00,20160729,45432,69,62,73,1972,no,yes,no,no,no
2021,14086 LEMOLI WAY  HAWTHORNE CA  90250,$365000.00,20160726,1352,1,3,3,1990,no,no,yes,no,no
2022,3207 W 132ND ST  HAWTHORNE CA  90250,$174021.00,20160727,740,1,2,1,1940,no,no,no,no,no
2023,11527 SIMMS AVE  INGLEWOOD CA  90303,$454000.00,20160728,1188,1,3,1,1947,no,no,no,no,no
2024,2319 W 115TH ST  HAWTHORNE CA  90250,$317247.00,20160728,1477,1,3,2,1959,no,no,no,no,no
2025,11619 CASIMIR AVE  HAWTHORNE CA  90250,$426000.00,20160728,1192,1,3,2,1954,no,no,no,no,no
2026,2115 W 115TH ST  HAWTHORNE CA  90250,$530000.00,20160721,1547,1,3,2,1962,no,no,no,no,no
2027,11533 S ST ANDREWS PL  LOS ANGELES CA  90047,$451000.00,20160722,1276,1,3,2,1951,no,no,no,no,no
2028,13120 ARDATH AVE  GARDENA CA  90249,$83959.00,20160722,1370,1,4,2,1955,no,no,no,no,no
2029,13004 PURCHE AVE  GARDENA CA  90249,$500000.00,20160722,1762,1,3,2,1959,no,no,no,no,no
2030,14723 PARRON AVE  GARDENA CA  90249,$384880.00,20160721,1970,1,2,2,1965,no,no,no,no,no
2031,15424 PARRON AVE  GARDENA CA  90249,$449000.00,20160721,1068,1,3,1,1952,no,no,no,no,no
2032,2801 W 147TH ST  GARDENA CA  90249,$385000.00,20160722,1325,1,2,2,1954,no,no,no,no,no
2033,"2502 MANHATTAN BEACH BLVD, NO 1  GARDENA CA  90249",$190121.00,20160726,772,1,2,1,1971,no,no,yes,no,no
2034,16116 ATKINSON AVE  GARDENA CA  90249,$522750.00,20160726,1787,1,5,3,1956,no,no,no,no,no
2035,16123 ATKINSON AVE  GARDENA CA  90249,$64797.00,20160729,1376,1,4,2,1953,no,no,no,no,no
2036,15431 ATKINSON AVE  GARDENA CA  90249,$479000.00,20160726,1513,1,3,2,1946,no,no,no,no,no
2037,3217 W 153RD ST  GARDENA CA  90249,$360673.00,20160725,1240,1,2,2,1948,no,no,no,no,no
2038,3331 W 157TH ST  GARDENA CA  90249,$520000.00,20160727,1001,1,3,1,1947,no,no,no,no,no
2039,14518 YUKON AVE  HAWTHORNE CA  90250,$390000.00,20160726,1708,1,3,3,1981,yes,no,yes,no,no
2040,14715 CHADRON AVE  GARDENA CA  90249,$4560000.00,20160726,20480,32,48,32,1959,no,no,no,no,no
2041,14700 BODGER AVE  HAWTHORNE CA  90250,$541000.00,20160725,1233,1,3,1,1953,no,no,no,no,no
2042,3849 W 147TH PL  HAWTHORNE CA  90250,$562000.00,20160729,1310,1,2,3,1956,no,no,no,no,no
2043,15119 CORDARY AVE  LAWNDALE CA  90260,$625000.00,20160728,1595,1,4,2,1952,no,no,no,no,no
2044,15802 GREVILLEA AVE  LAWNDALE CA  90260,$285600.00,20160728,841,1,2,1,1949,no,no,no,no,no
2045,4123 W 164TH ST  LAWNDALE CA  90260,$212384.00,20160728,1438,1,3,1,1965,no,no,no,no,no
2046,4166 W 166TH ST  LAWNDALE CA  90260,$464745.00,20160726,1300,1,3,2,1952,no,no,no,no,no
2047,4329 W 166TH ST  LAWNDALE CA  90260,$500000.00,20160726,934,1,2,1,1959,no,no,no,no,no
2048,4209 W 170TH ST  LAWNDALE CA  90260,$396126.00,20160721,1243,1,3,2,1946,no,no,no,no,no
2049,4217 W 142ND ST  HAWTHORNE CA  90250,$910000.00,20160727,3388,3,9,5,1963,no,no,no,no,no
2050,4048 W 142ND ST  HAWTHORNE CA  90250,$1285570.00,20160721,6402,6,14,12,1962,no,no,no,no,no
2051,4081 W ROSECRANS AVE  LAWNDALE CA  90250,$2174665.00,20160726,11988,14,28,18,1982,no,no,no,no,no
2052,14902 OSAGE AVE  LAWNDALE CA  90260,$542000.00,20160722,2195,1,5,3,1983,no,no,no,no,no
2053,14700 KINGSDALE AVE  LAWNDALE CA  90260,$270562.00,20160726,1458,1,3,2,1970,no,no,no,no,no
2054,14610 KINGSDALE AVE  LAWNDALE CA  90260,$595000.00,20160721,2309,1,3,3,1991,no,no,no,no,no
2055,14418 FIRMONA AVE  LAWNDALE CA  90260,$166740.00,20160726,1216,1,3,2,1961,no,no,no,no,no
2056,14404 MANSEL AVE  LAWNDALE CA  90260,$425000.00,20160722,1159,1,3,1,1967,no,no,no,no,no
2057,14409 BURIN AVE  LAWNDALE CA  90260,$540000.00,20160725,1569,1,3,2,1978,no,no,no,no,no
2058,4730 W 173RD ST  LAWNDALE CA  90260,$3250000.00,20160726,12266,14,26,14,1961,no,no,no,no,no
2059,4613 W 169TH ST  LAWNDALE CA  90260,$406923.00,20160722,2063,2,4,2,1982,no,no,no,no,no
2060,2623 VANDERBILT LN  REDONDO BEACH CA  90278,$930000.00,20160728,2839,2,5,5,1966,no,no,no,no,no
2061,2700 VANDERBILT LN  REDONDO BEACH CA  90278,$868989.00,20160727,2200,1,3,3,2013,no,no,yes,no,no
2062,2602 HUNTINGTON LN  REDONDO BEACH CA  90278,$1365000.00,20160721,3522,2,7,4,1989,no,no,no,no,no
2063,,$335000.00,20160729,0,0,0,0,0,no,no,no,no,no
2064,,$335000.00,20160729,0,0,0,0,0,no,no,no,no,no
2065,,$335000.00,20160729,0,0,0,0,0,no,no,no,no,no
2066,18512 GREVILLEA AVE  TORRANCE CA  90278,$545000.00,20160729,826,1,2,1,1920,no,no,no,no,no
2067,2713 183RD ST  REDONDO BEACH CA  90278,$475582.00,20160728,1509,1,4,3,1969,no,no,no,no,no
2068,3723 ARTESIA BLVD  TORRANCE CA  90504,$1731110.00,20160728,4936,8,8,8,1958,no,no,no,no,no
2069,3849 W 172ND ST  TORRANCE CA  90504,$328466.00,20160727,1142,1,3,2,1955,no,no,no,no,no
2070,18413 PATRONELLA AVE  TORRANCE CA  90504,$86350.00,20160729,1327,1,4,2,1955,no,no,no,no,no
2071,18802 FONTHILL AVE  TORRANCE CA  90504,$795600.00,20160721,2001,1,4,2,1968,no,no,no,no,no
2072,18509 CRENSHAW BLVD  TORRANCE CA  90504,$516967.00,20160727,1703,1,4,2,1955,no,no,no,no,no
2073,18515 FALDA AVE  TORRANCE CA  90504,$454000.00,20160722,743,1,2,1,1952,no,no,no,no,no
2074,17424 DELIA AVE  TORRANCE CA  90504,$221312.00,20160725,829,1,2,1,1953,no,no,no,no,no
2075,3222 W 178TH ST  TORRANCE CA  90504,$610000.00,20160729,1313,1,3,2,1955,no,no,no,no,no
2076,3143 W 181ST ST  TORRANCE CA  90504,$87402.00,20160725,1372,1,4,2,1955,no,no,no,no,no
2077,16704 GLENBURN AVE  TORRANCE CA  90504,$679000.00,20160727,1252,1,3,2,1952,no,no,no,no,no
2078,16708 FALDA AVE  TORRANCE CA  90504,$610000.00,20160728,1252,1,3,2,1952,no,no,no,no,no
2079,17321 GLENBURN AVE  TORRANCE CA  90504,$257594.00,20160725,1210,1,2,2,1949,no,no,no,no,no
2080,"3415 ARTESIA BLVD, NO 11  TORRANCE CA  90504",$411400.00,20160726,1400,1,2,3,1980,no,no,yes,no,no
2081,17321 WILTON PL  TORRANCE CA  90504,$660000.00,20160728,1480,1,4,2,1956,no,no,no,no,no
2082,17022 ILLINOIS CT  TORRANCE CA  90504,$87402.00,20160722,1404,1,3,2,1956,no,no,no,no,no
2083,18325 VAN NESS AVE  TORRANCE CA  90504,$72830.00,20160721,1622,1,3,3,1964,no,no,yes,no,no
2084,18518 SPINNING AVE  TORRANCE CA  90504,$76207.00,20160728,1198,1,3,2,1956,no,no,no,no,no
2085,5551 W 63RD ST  LOS ANGELES CA  90056,$834562.00,20160727,3001,1,4,3,1960,no,yes,no,no,no
2086,5641 W 64TH ST  LOS ANGELES CA  90056,$776454.00,20160721,2790,1,4,3,1963,no,no,no,no,no
2087,"6624 SPRINGPARK AVE, 8A  LOS ANGELES CA  90056",$384200.00,20160725,1350,1,2,2,1987,no,no,no,no,no
2088,6730 BEDFORD AVE  LOS ANGELES CA  90056,$950000.00,20160728,2834,1,3,3,1964,no,no,no,no,no
2089,,$51035.00,20160728,0,0,0,0,0,no,no,no,no,no
2090,"7033 LA TIJERA BLVD, I202  LOS ANGELES CA  90045",$490000.00,20160721,1035,1,2,2,1991,no,no,no,no,no
2091,"7100 LA TIJERA BLVD, E101  LOS ANGELES CA  90045",$358064.00,20160722,948,1,2,2,1991,no,no,no,no,no
2092,5654 W 78TH ST  LOS ANGELES CA  90045,$237092.00,20160729,1482,1,3,2,1953,no,no,no,no,no
2093,5813 ABERNATHY DR  LOS ANGELES CA  90045,$737918.00,20160726,1163,1,2,1,1951,no,no,no,no,no
2094,5860 W 78TH ST  LOS ANGELES CA  90045,$836000.00,20160728,1322,1,3,2,1951,no,no,no,no,no
2095,6033 W 76TH ST  LOS ANGELES CA  90045,$534469.00,20160727,1234,1,3,1,1947,no,yes,no,no,no
2096,6017 W 76TH ST  LOS ANGELES CA  90045,$612663.00,20160728,1077,1,2,1,1947,no,yes,no,no,no
2097,7870 BOEING AVE  LOS ANGELES CA  90045,$775000.00,20160726,1496,1,4,2,1958,no,no,no,no,no
2098,8427 KITTYHAWK AVE  LOS ANGELES CA  90045,$710000.00,20160721,1100,2,2,2,1943,no,no,no,no,no
2099,6521 W 84TH ST  LOS ANGELES CA  90045,$1200000.00,20160722,1750,1,4,3,1984,no,no,no,no,no
2100,6321 W 81ST ST  LOS ANGELES CA  90045,$1835000.00,20160721,3136,1,5,5,1995,no,no,no,no,no
2101,6359 W 80TH ST  LOS ANGELES CA  90045,$761230.00,20160721,3102,1,5,4,1951,no,no,no,no,no
2102,7407 DUNBARTON AVE  LOS ANGELES CA  90045,$2050000.00,20160729,1722,1,5,2,1951,no,no,no,no,no
2103,6976 W 85TH ST  LOS ANGELES CA  90045,$1175000.00,20160728,1977,1,4,3,1961,no,no,no,no,no
2104,8137 STEWART AVE  LOS ANGELES CA  90045,$716454.00,20160726,1190,1,3,2,1950,no,no,no,no,no
2105,7810 KENYON AVE  LOS ANGELES CA  90045,$1777500.00,20160722,3109,1,6,5,1980,no,no,no,no,no
2106,8324 STEWART AVE  LOS ANGELES CA  90045,$1132500.00,20160728,1798,1,4,2,1966,no,no,no,no,no
2107,8383 WESTLAWN AVE  LOS ANGELES CA  90045,$316232.00,20160726,1585,1,3,2,1949,no,no,no,no,no
2108,8025 REGIS WAY  LOS ANGELES CA  90045,$495959.00,20160727,1478,1,3,2,1947,no,no,no,no,no
2109,8001 ALTAVAN AVE  LOS ANGELES CA  90045,$1369800.00,20160729,1612,1,2,2,1952,no,no,no,no,no
2110,7571 COASTAL VIEW DR  LOS ANGELES CA  90045,$2665000.00,20160729,4285,1,4,4,2007,no,no,no,no,no
2111,7322 W 82ND ST  LOS ANGELES CA  90045,$931998.00,20160721,1559,1,4,2,1949,no,no,no,no,no
2112,7549 W 81ST ST  LOS ANGELES CA  90293,$1475000.00,20160725,2261,1,3,3,1990,no,no,no,no,no
2113,8110 CALABAR AVE  LOS ANGELES CA  90293,$1250000.00,20160721,2645,1,4,3,1967,no,no,no,no,no
2114,8200 TUSCANY AVE  LOS ANGELES CA  90293,$177262.00,20160726,1824,1,3,2,1960,no,no,no,no,no
2115,"8001 REDLANDS ST, NO 20  LOS ANGELES CA  90293",$400000.00,20160722,845,1,1,1,1971,no,no,yes,no,no
2116,"8500 FALMOUTH AVE, NO 3316  LOS ANGELES CA  90293",$500000.00,20160722,827,1,1,1,1986,no,no,yes,no,no
2117,"8600 TUSCANY AVE, NO 307  LOS ANGELES CA  90293",$223113.00,20160728,1183,1,2,2,1981,no,no,yes,no,no
2118,"8675 FALMOUTH AVE, NO 204  LOS ANGELES CA  90293",$432000.00,20160722,691,1,1,1,1983,no,no,yes,no,no
2119,6533 W 86TH PL  LOS ANGELES CA  90045,$950215.00,20160727,1612,2,4,2,1947,no,no,no,no,no
2120,838 HILLCREST ST  EL SEGUNDO CA  90245,$1050000.00,20160729,2040,1,4,2,1955,no,no,no,no,no
2121,630 W SYCAMORE AVE  EL SEGUNDO CA  90245,$1650000.00,20160721,3877,1,3,2,1974,no,no,no,no,no
2122,515 LOMA VISTA ST  EL SEGUNDO CA  90245,$2250000.00,20160722,3767,1,5,5,2007,no,no,no,no,no
2123,714 VIRGINIA ST  EL SEGUNDO CA  90245,$719298.00,20160725,1191,1,2,1,1927,no,no,no,no,no
2124,"745 MAIN ST, UNIT 305  EL SEGUNDO CA  90245",$510000.00,20160722,1173,1,2,2,1977,no,no,yes,no,no
2125,"822 MAIN ST, 3  EL SEGUNDO CA  90245",$778978.00,20160728,1813,1,3,3,2004,no,no,yes,no,no
2126,816 SHELDON ST  EL SEGUNDO CA  90245,$1535000.00,20160722,2300,1,3,4,1970,no,yes,no,no,no
2127,516 E WALNUT AVE  EL SEGUNDO CA  90245,$1115000.00,20160728,1611,1,3,2,1947,no,no,no,no,no
2128,910 E MARIPOSA AVE  EL SEGUNDO CA  90245,$1205400.00,20160727,1448,1,3,2,1978,no,no,no,no,no
