,ZIPcode5,PropertyLocation,TotalValue,SQFTmain,Bedrooms,Bathrooms,EffectiveYearBuilt,rowID,RecordingDate,house_type,pool,coordinates
42416,91325,17927 CHASE ST  LOS ANGELES CA  91325,$520958.00,1686,4,2,1962,20172787004034,2016-06-22,house,yes,"(34.224896579999999, -118.52401737)"
42420,91325,17951 ROSCOE BLVD  LOS ANGELES CA  91325,$1378950.00,4962,9,7,1959,20172787007002,2016-06-27,house,no,"(34.221197570000001, -118.52485335)"
42425,91325,8326 JAMIESON AVE  LOS ANGELES CA  91325,$741345.00,3789,5,4,1964,20172787009006,2016-06-03,house,yes,"(34.221809139999998, -118.52149654999999)"
42436,91325,17610 COMMUNITY ST  LOS ANGELES CA  91325,$680340.00,1813,2,2,1970,20172787016014,2016-06-20,house,yes,"(34.222337809999999, -118.51742589)"
42443,91325,17364 RAYMER ST  LOS ANGELES CA  91325,$800700.00,3259,5,4,1960,20172787023008,2016-06-29,house,yes,"(34.224759589999998, -118.51208072)"
42448,91325,17545 NAPA ST  LOS ANGELES CA  91325,$689057.00,2855,4,4,1956,20172787027001,2016-06-27,house,yes,"(34.227667050000001, -118.51710457999999)"
42450,91325,17533 RAYMER ST  LOS ANGELES CA  91325,$730065.00,2310,3,3,1963,20172787027019,2016-06-30,house,no,"(34.226607649999998, -118.51689118)"
42451,91325,8647 ENCINO AVE  LOS ANGELES CA  91325,$1001088.00,2677,3,3,1965,20172787027037,2016-06-24,house,yes,"(34.22744891, -118.51607371)"
42475,91351,27951 OAKGALE AVE  SANTA CLARITA CA  91351,$222866.00,1272,4,2,1971,20172801003017,2016-06-06,house,no,"(34.437708290000003, -118.48777552)"
42493,91351,19733 MERRYHILL ST  SANTA CLARITA CA  91351,$287012.00,1520,4,2,1964,20172801013018,2016-06-21,house,yes,"(34.437524830000001, -118.48056169)"
42497,91351,28225 HOT SPRINGS AVE  SANTA CLARITA CA  91351,$311414.00,1450,4,2,1964,20172801014028,2016-06-21,house,no,"(34.436838659999999, -118.47718515)"
42524,91351,19519 ALDBURY ST  SANTA CLARITA CA  91351,$469200.00,1374,4,2,1963,20172801022048,2016-06-01,house,no,"(34.433463680000003, -118.47743378)"
42528,91351,28002 GLASSER AVE  SANTA CLARITA CA  91351,$408000.00,1287,3,2,1963,20172801023013,2016-06-21,house,no,"(34.432803470000003, -118.47971037000001)"
42539,91351,20435 KESLEY ST  SANTA CLARITA CA  91351,$369586.00,2186,4,3,1988,20172801025144,2016-06-24,house,no,"(34.43570424, -118.49260907)"
42594,91354,27353 ELLERY PLACE  SANTA CLARITA CA  91354,$635460.00,2981,3,4,2015,20172801029038,2016-06-13,house,no,"(34.433739610000003, -118.49915729999998)"
42602,91354,27324 ARDELLA PL  SANTA CLARITA CA  91354,$643620.00,2981,3,4,2016,20172801029046,2016-06-29,house,no,"(34.433739610000003, -118.49915729999998)"
42606,91350,27323 ARDELLA PLACE  SANTA CLARITA CA  91350,$641682.00,2815,3,3,2016,20172801029050,2016-06-16,house,no,"(34.433682740000002, -118.49967334999999)"
42607,91354,27319 ARDELLA PL  SANTA CLARITA CA  91354,$728280.00,2981,3,4,2016,20172801029051,2016-06-21,house,no,"(34.433682740000002, -118.49967334999999)"
42628,91350,27411 PAPAYA COURT  SANTA CLARITA CA  91350,$572220.00,2431,4,3,2016,20172801029098,2016-06-30,house,no,"(34.433280809999999, -118.49654485000001)"
42632,91350,27414 PAPAYA COURT  SANTA CLARITA CA  91350,$524280.00,2241,4,3,2016,20172801029102,2016-06-23,house,no,"(34.433280809999999, -118.49654485000001)"
42635,91350,27288 PASCAL PLACE  SANTA CLARITA CA  91350,$577320.00,2563,4,3,2015,20172801029119,2016-06-17,house,no,"(34.431858040000002, -118.49857114)"
42638,91350,27263 HAWTHORNE PLACE  SANTA CLARITA CA  91350,$580380.00,2563,4,3,2015,20172801029122,2016-06-10,house,no,"(34.431858040000002, -118.49857114)"
42641,91350,27269 PASCAL PLACE  SANTA CLARITA CA  91350,$570180.00,2212,3,3,2015,20172801029127,2016-06-16,house,no,"(34.431858040000002, -118.49857114)"
42644,91350,27255 PASCAL PLACE  SANTA CLARITA CA  91350,$579360.00,2446,4,3,2015,20172801029130,2016-06-01,house,no,"(34.431858040000002, -118.49857114)"
42656,91350,20505 SYCAMORE COURT  SANTA CLARITA CA  91350,$556920.00,2241,3,3,2016,20172801029148,2016-06-30,house,no,"(34.43257646, -118.49568490000001)"
42681,91350,27279 DRYDEN DRIVE  SANTA CLARITA CA  91350,$570180.00,2446,4,3,2016,20172801029174,2016-06-16,house,no,"(34.431990669999998, -118.49784287999999)"
42682,91350,27278 DRYDEN DRIVE  SANTA CLARITA CA  91350,$580380.00,2446,4,3,2016,20172801029175,2016-06-10,house,no,"(34.431990669999998, -118.49784287999999)"
42684,91350,27286 DRYDEN DRIVE  SANTA CLARITA CA  91350,$613020.00,2563,4,3,2016,20172801029177,2016-06-01,house,no,"(34.431990669999998, -118.49784287999999)"
42716,91350,27660 CAMELLIA DRIVE  SANTA CLARITA CA  91350,$744600.00,4326,5,5,2016,20172801033001,2016-06-23,house,no,"(34.437303059999998, -118.49907699000001)"
42723,91350,27618 CAMELLIA DRIVE  SANTA CLARITA CA  91350,$790500.00,3926,5,6,2016,20172801033008,2016-06-27,house,no,"(34.43641367, -118.49987476)"
42749,91351,18644 OAKMOOR ST  SANTA CLARITA CA  91351,$365160.00,1120,3,2,1963,20172802006036,2016-06-13,house,no,"(34.426584589999997, -118.46228625000001)"
42776,91351,19017 BAGBY DR  SANTA CLARITA CA  91351,$270561.00,1144,4,2,1962,20172802015004,2016-06-13,house,no,"(34.425738979999998, -118.46853909999999)"
42794,91351,19321 FAIRWEATHER ST  SANTA CLARITA CA  91351,$428400.00,1140,4,1,1970,20172802021012,2016-06-28,house,no,"(34.424793139999998, -118.47311537)"
42798,91351,19336 FOUR OAKS ST  SANTA CLARITA CA  91351,$453900.00,1676,4,3,1984,20172802022018,2016-06-30,house,no,"(34.425851829999999, -118.47307133)"
42818,91351,28112 TAMBORA DR  SANTA CLARITA CA  91351,$469200.00,1400,3,2,1968,20172802031012,2016-06-10,house,yes,"(34.432343080000003, -118.46467013)"
42827,91351,19151 NADAL ST  SANTA CLARITA CA  91351,$18462000.00,74176,176,176,1985,20172802037028,2016-06-17,house,yes,"(34.42916391, -118.4686031)"
42828,91351,28085 WHITES CANYON RD  SANTA CLARITA CA  91351,$27958099.00,97780,200,192,1985,20172802037029,2016-06-17,house,yes,"(34.430340549999997, -118.47043893)"
42834,91351,19342 OLD FRIEND RD  SANTA CLARITA CA  91351,$463000.00,1900,4,3,1985,20172802038076,2016-06-24,pud,no,"(34.434933569999998, -118.47383305)"
42837,91351,28045 WILDWIND RD  SANTA CLARITA CA  91351,$459000.00,1598,3,3,1984,20172802038098,2016-06-08,house,no,"(34.434484140000002, -118.47351507)"
42844,91351,19107 OLYMPIC CREST DR  SANTA CLARITA CA  91351,$693600.00,2732,4,3,1999,20172802039024,2016-06-03,house,yes,"(34.433711449999997, -118.46982459)"
42847,91351,28103 CANYON CREST DR  SANTA CLARITA CA  91351,$606900.00,3132,4,3,1999,20172802039034,2016-06-06,house,no,"(34.433594239999998, -118.46892690999999)"
42895,91351,27254 WALNUT SPRINGS AVE  SANTA CLARITA CA  91351,$448800.00,1214,4,2,1963,20172803011023,2016-06-28,house,no,"(34.417279090000001, -118.47044778)"
42897,91351,19104 WELLHAVEN ST  SANTA CLARITA CA  91351,$374373.00,1444,4,2,1963,20172803011033,2016-06-30,house,no,"(34.41744929, -118.46878590000001)"
42905,91351,19042 VICCI ST  SANTA CLARITA CA  91351,$397800.00,982,3,2,1961,20172803013008,2016-06-10,house,no,"(34.41895427, -118.46788097)"
42912,91351,27548 WALNUT SPRINGS AVE  SANTA CLARITA CA  91351,$313503.00,1144,4,2,1961,20172803016002,2016-06-30,house,no,"(34.422759460000002, -118.47067513)"
42923,91351,19020 DELIGHT ST  SANTA CLARITA CA  91351,$294730.00,1144,4,2,1962,20172803019005,2016-06-01,house,no,"(34.423707309999998, -118.46863326)"
42924,91351,27863 BAKERTON AVE  SANTA CLARITA CA  91351,$423300.00,1080,3,2,1962,20172803019031,2016-06-01,house,no,"(34.424740720000003, -118.46494194)"
42951,91351,18800 ELECTRA CT  SANTA CLARITA CA  91351,$474300.00,1759,3,3,2001,20172803023197,2016-06-30,pud,no,"(34.422909009999998, -118.46595049999999)"
42959,91351,27926 AVALON DR  CANYON COUNTRY CA  91351,$389640.00,1810,3,3,2010,20172803024060,2016-06-28,condo,no,"(34.422314229999998, -118.45288649)"
42975,91351,"18209 SIERRA HWY, NO 80  SANTA CLARITA CA  91351",$232560.00,795,2,2,1987,20172803025106,2016-06-28,condo,no,"(34.420997739999997, -118.45477466)"
42983,91351,27478 ORSINI AVE  SANTA CLARITA CA  91351,$314608.00,1311,3,2,1961,20172803026001,2016-06-21,house,no,"(34.41437844, -118.45887184)"
42992,91351,27526 BERNINA AVE  SANTA CLARITA CA  91351,$418200.00,1280,3,2,1972,20172803033021,2016-06-23,house,no,"(34.418385100000002, -118.46275491)"
42999,91351,"27150 HIDAWAY AVE, NO 3  SANTA CLARITA CA  91351",$290700.00,1078,2,2,1980,20172803038010,2016-06-02,condo,no,"(34.413607849999998, -118.46710604)"
43002,91351,"27130 HIDAWAY AVE, NO 3  SANTA CLARITA CA  91351",$265200.00,1078,2,2,1980,20172803038024,2016-06-23,condo,no,"(34.413607849999998, -118.46710604)"
43003,91351,"27121 CROSSGLADE AVE, NO 4  SANTA CLARITA CA  91351",$290700.00,1078,2,2,1980,20172803038039,2016-06-14,condo,no,"(34.413607849999998, -118.46710604)"
43011,91351,"27119 CROSSGLADE AVE, NO 3  SANTA CLARITA CA  91351",$215253.00,1078,2,2,1980,20172803038080,2016-06-13,condo,no,"(34.413607849999998, -118.46710604)"
43016,91351,"27104 HIDAWAY AVE, NO 2  SANTA CLARITA CA  91351",$300900.00,1250,3,2,1980,20172803038107,2016-06-08,condo,no,"(34.413607849999998, -118.46710604)"
43023,91351,"27071 CROSSGLADE AVE, UNIT   5  SANTA CLARITA CA  91351",$304980.00,1114,2,2,1980,20172803038159,2016-06-30,condo,no,"(34.413607849999998, -118.46710604)"
43029,91351,18608 CAMELOT CT  SANTA CLARITA CA  91351,$482460.00,2526,3,3,1987,20172803039026,2016-06-06,pud,no,"(34.417700779999997, -118.45973183)"
43059,91351,27637 ATLAS LN  SANTA CLARITA CA  91351,$380579.00,1759,3,3,1999,20172803040115,2016-06-07,pud,no,"(34.421886499999999, -118.45993488000001)"
43062,91351,"18724 MANDAN STREET, 1209  SANTA CLARITA CA  91351",$244800.00,1031,3,2,1984,20172803041024,2016-06-24,house,no,"(34.413501009999997, -118.46209933)"
43079,91351,"27238 LUTHER DR, 609  SANTA CLARITA CA  91351",$173400.00,652,1,1,1984,20172803042050,2016-06-30,house,no,"(34.413308909999998, -118.46338249999999)"
43083,91351,"18820 MANDAN ST, 404  SANTA CLARITA CA  91351",$175440.00,635,1,1,1984,20172803042079,2016-06-13,house,no,"(34.413308909999998, -118.46338249999999)"
43084,91351,"18808 MANDAN ST, 302  SANTA CLARITA CA  91351",$186660.00,635,1,1,1984,20172803042096,2016-06-09,house,no,"(34.413308909999998, -118.46338249999999)"
43095,91351,20042 DELIGHT ST  SANTA CLARITA CA  91351,$492000.00,1950,5,3,1965,20172805006012,2016-06-01,house,no,"(34.423655969999999, -118.48642714)"
43097,91351,27101 PINE HILLS AVE  SANTA CLARITA CA  91351,$392009.00,1650,4,2,1967,20172805007020,2016-06-03,house,no,"(34.423611880000003, -118.48954308)"
43103,91351,20419 DELIGHT ST  SANTA CLARITA CA  91351,$383449.00,2136,5,3,1968,20172805009035,2016-06-10,house,yes,"(34.424083299999999, -118.49250725)"
43105,91351,20333 FAIRWEATHER ST  SANTA CLARITA CA  91351,$388344.00,1418,3,2,1967,20172805010006,2016-06-14,house,no,"(34.424860459999998, -118.49070075)"
43111,91351,20201 FAIRWEATHER ST  SANTA CLARITA CA  91351,$130556.00,1950,5,3,1965,20172805011014,2016-06-22,house,no,"(34.424859079999997, -118.48849933)"
43120,91351,27022 LANGSIDE AVE  SANTA CLARITA CA  91351,$477360.00,1648,3,2,1978,20172805023004,2016-06-22,house,no,"(34.421428300000002, -118.48424206999999)"
43137,91351,27824 ROSAMOND DR  SANTA CLARITA CA  91351,$438339.00,1748,4,2,1965,20172806005014,2016-06-28,house,no,"(34.428973569999997, -118.47819432)"
43138,91351,27812 ROSAMOND DR  SANTA CLARITA CA  91351,$168336.00,1809,5,2,1965,20172806005018,2016-06-27,house,no,"(34.428496279999997, -118.47759841)"
43140,91351,19501 CHADWAY ST  SANTA CLARITA CA  91351,$397800.00,1748,4,2,1965,20172806005025,2016-06-17,house,no,"(34.427891709999997, -118.47649683)"
43141,91351,27855 CAMP PLENTY RD  SANTA CLARITA CA  91351,$387600.00,1809,5,2,1965,20172806005035,2016-06-23,house,no,"(34.429203880000003, -118.47796945)"
43161,91351,19626 CEDARCREEK ST  SANTA CLARITA CA  91351,$510000.00,1809,5,2,1965,20172806010015,2016-06-02,house,yes,"(34.42507707, -118.47913397000001)"
43167,91351,19636 FAIRWEATHER ST  SANTA CLARITA CA  91351,$520200.00,2118,4,3,1965,20172806011023,2016-06-10,house,yes,"(34.42434196, -118.47951067)"
43185,91350,27725 SPANDAU DR  SANTA CLARITA CA  91350,$523260.00,1680,3,3,1988,20172807002054,2016-06-13,house,yes,"(34.45572026, -118.53265055999999)"
43199,91350,22647 FENWALL DR  SANTA CLARITA CA  91350,$268227.00,1275,3,2,1988,20172807004041,2016-06-30,house,no,"(34.452108729999999, -118.53215305000001)"
43219,91350,22420 LA ROCHELLE DR  SANTA CLARITA CA  91350,$324574.00,1280,3,2,1960,20172807009018,2016-06-03,house,yes,"(34.449515419999997, -118.52913748)"
43246,91350,22510 DECORO DR  SANTA CLARITA CA  91350,$452880.00,1161,3,2,1954,20172807018013,2016-06-30,house,no,"(34.441827060000001, -118.53081110000001)"
43261,91350,27459 ONLEE AVE  SANTA CLARITA CA  91350,$464100.00,1260,4,2,1972,20172807025016,2016-06-07,house,no,"(34.444821150000003, -118.52499568)"
43289,91350,22017 KRISTIN LN  SANTA CLARITA CA  91350,$596700.00,2407,4,3,1989,20172807034051,2016-06-30,house,no,"(34.451188289999997, -118.52034802)"
43294,91350,22020 LUCY CT  SANTA CLARITA CA  91350,$529000.00,1691,3,3,1989,20172807035030,2016-06-27,house,no,"(34.44926976, -118.52067839999999)"
43296,91350,22000 JODI PL  SANTA CLARITA CA  91350,$464590.00,2212,4,3,1989,20172807035055,2016-06-23,house,no,"(34.448859509999998, -118.51915816)"
43310,91350,27723 RON RIDGE DR  SANTA CLARITA CA  91350,$341215.00,2083,4,3,1994,20172807039053,2016-06-01,house,no,"(34.450235829999997, -118.52298154)"
43328,91350,22570 ARRIBA DR  SANTA CLARITA CA  91350,$653433.00,1942,4,2,1970,20172808003009,2016-06-20,house,no,"(34.438332189999997, -118.53008981000001)"
43331,91350,22512 GARZOTA DR  SANTA CLARITA CA  91350,$703800.00,3070,4,3,1980,20172808005013,2016-06-27,house,no,"(34.437240860000003, -118.52976029999999)"
43366,91350,27151 BARADA AVE  SANTA CLARITA CA  91350,$146749.00,1250,4,2,1964,20172808013009,2016-06-03,house,no,"(34.437490799999999, -118.52289561000001)"
43370,91350,27124 CABRERA AVE  SANTA CLARITA CA  91350,$210480.00,1188,3,2,1964,20172808013022,2016-06-10,house,no,"(34.436373100000004, -118.52326819)"
43380,91350,21812 ALAMOGORDO RD  SANTA CLARITA CA  91350,$417180.00,1376,4,2,1964,20172808016006,2016-06-30,house,no,"(34.437820369999997, -118.51853068)"
43395,91350,27437 ARRIOLA AVE  SANTA CLARITA CA  91350,$371859.00,1188,3,2,1964,20172808019033,2016-06-01,house,no,"(34.439886629999997, -118.52061993)"
43411,91350,27901 YOUNGBERRY DR  SANTA CLARITA CA  91350,$87703.00,1418,3,2,1966,20172809006033,2016-06-20,house,yes,"(34.448674070000003, -118.50836652)"
43412,91350,21166 CEDARFALLS DR  SANTA CLARITA CA  91350,$477419.00,1794,5,3,1965,20172809007016,2016-06-17,house,no,"(34.447429620000001, -118.50625091000001)"
43431,91350,27921 NEWBIRD DR  SANTA CLARITA CA  91350,$515100.00,1650,4,2,1965,20172809012009,2016-06-28,house,no,"(34.449482039999999, -118.50015358)"
43457,91350,28116 SHELTER COVE DR  SANTA CLARITA CA  91350,$504900.00,1481,4,2,1968,20172809022007,2016-06-16,house,no,"(34.453066980000003, -118.49990548)"
43462,91350,28125 SHELTER COVE DR  SANTA CLARITA CA  91350,$484500.00,1481,4,2,1968,20172809023016,2016-06-24,house,no,"(34.453481899999993, -118.50021228999999)"
43463,91350,28137 SHELTER COVE DR  SANTA CLARITA CA  91350,$423810.00,1668,4,2,1968,20172809023018,2016-06-30,house,no,"(34.453758350000001, -118.49998000000001)"
43471,91350,28120 ALAMINOS DR  SANTA CLARITA CA  91350,$453900.00,1471,3,2,1969,20172809029007,2016-06-01,house,no,"(34.452694209999997, -118.49911748)"
43473,91350,28168 ALAMINOS DR  SANTA CLARITA CA  91350,$474300.00,1471,3,2,1969,20172809029016,2016-06-02,house,no,"(34.453888489999997, -118.49827066)"
43478,91350,20766 PLUM CANYON RD  SANTA CLARITA CA  91350,$156945.00,834,2,1,1972,20172809032028,2016-06-20,condo,no,"(34.449985009999999, -118.49896062000001)"
43480,91350,20765 PLUM CANYON RD  SANTA CLARITA CA  91350,$214200.00,834,2,1,1972,20172809032040,2016-06-17,condo,no,"(34.450498269999997, -118.49829560000001)"
43485,91350,28044 ROBIN AVE  SANTA CLARITA CA  91350,$249900.00,834,2,1,1974,20172809032084,2016-06-17,condo,no,"(34.451235629999999, -118.49777403)"
43486,91350,20711 DOT ST  SANTA CLARITA CA  91350,$245310.00,834,2,1,1974,20172809032095,2016-06-03,condo,no,"(34.452578320000001, -118.49714178000001)"
43503,91350,20839 PLUM CANYON RD  SANTA CLARITA CA  91350,$219300.00,799,2,1,1977,20172809033052,2016-06-08,condo,no,"(34.45127299, -118.49897914)"
43524,91354,27141 RIO BOSQUE DR  SANTA CLARITA CA  91354,$423300.00,1307,3,2,1975,20172810005165,2016-06-10,pud,no,"(34.441481410000002, -118.53455218000001)"
43534,91354,23108 OSAGE RIDGE RD  SANTA CLARITA CA  91354,$464100.00,1263,3,2,1976,20172810006062,2016-06-16,house,no,"(34.445927419999997, -118.54056473)"
43556,91354,27067 ALABASTRO DR  SANTA CLARITA CA  91354,$301702.00,2241,4,3,1977,20172810012027,2016-06-01,house,yes,"(34.438890739999998, -118.53755449000001)"
43565,91354,27068 LAS MANANITAS DR  SANTA CLARITA CA  91354,$456242.00,1836,4,3,1973,20172810014007,2016-06-22,house,yes,"(34.439526950000001, -118.53599122999999)"
43574,91354,27589 PAMPLICO DR  SANTA CLARITA CA  91354,$325288.00,1485,4,2,1976,20172810018020,2016-06-29,house,no,"(34.44994707, -118.54066972)"
43577,91354,27975 PERIWINKLE LN  VALENCIA CA  91354,$651780.00,2307,4,3,2000,20172810019018,2016-06-07,house,no,"(34.446754999999996, -118.56336091)"
43579,91354,27643 YARDLEY WAY  SANTA CLARITA CA  91354,$390754.00,2447,4,3,1995,20172810020090,2016-06-28,pud,no,"(34.44639145, -118.54937887)"
43592,91354,27597 WESTON DR  SANTA CLARITA CA  91354,$683400.00,2011,4,3,1995,20172810021230,2016-06-07,pud,no,"(34.445908770000003, -118.54825941)"
43624,91354,23235 CUESTPORT DR  SANTA CLARITA CA  91354,$765000.00,2939,3,3,1991,20172810030062,2016-06-28,pud,no,"(34.443458159999999, -118.54090121999999)"
43636,91354,27733 MANSFIELD CT  SANTA CLARITA CA  91354,$722568.00,2632,4,3,2000,20172810033019,2016-06-01,house,yes,"(34.448106719999998, -118.54924917)"
43644,91354,23713 ASHWOOD PL  VALENCIA CA  91354,$559980.00,1698,3,3,1996,20172810035051,2016-06-10,pud,no,"(34.454168670000001, -118.55029476999999)"
43660,91354,23808 WOODPARK CT  VALENCIA CA  91354,$600271.00,1763,4,3,1996,20172810039004,2016-06-27,pud,no,"(34.448638279999997, -118.55302742000001)"
43664,91354,23804 LAURELWOOD LN  VALENCIA CA  91354,$443826.00,1289,3,3,1996,20172810039022,2016-06-28,pud,no,"(34.449694549999997, -118.55183287)"
43670,91354,"27909 SKYCREST CIRCLE, # 40  VALENCIA CA  91354",$377400.00,910,2,3,1995,20172810042105,2016-06-14,condo,no,"(34.451158550000002, -118.55401836999999)"
43672,91354,"27924 CROWN COURT CIR, 115  VALENCIA CA  91354",$373320.00,910,2,3,1995,20172810042164,2016-06-15,condo,no,"(34.450407220000002, -118.55500086000001)"
43683,91354,27927 BROOKDALE CT  VALENCIA CA  91354,$574545.00,2211,4,3,1998,20172810044021,2016-06-28,pud,no,"(34.453421550000002, -118.54718696)"
43687,91354,27806 BLOOMFIELD CT  VALENCIA CA  91354,$338434.00,2211,4,3,1997,20172810044051,2016-06-09,pud,no,"(34.452765890000002, -118.54557935)"
43695,91354,23509 SUMMERGLEN PL  VALENCIA CA  91354,$396291.00,2573,4,3,1996,20172810045027,2016-06-06,pud,no,"(34.452591859999998, -118.54741240000001)"
43707,91354,23610 SILVERHAWK PL  VALENCIA CA  91354,$500820.00,1617,3,3,1997,20172810047030,2016-06-03,pud,no,"(34.449761940000002, -118.54891451)"
43715,91354,27815 SUNFLOWER CT  VALENCIA CA  91354,$559980.00,1522,3,3,1997,20172810047069,2016-06-22,pud,no,"(34.44992791, -118.54993818)"
43720,91354,27703 BRIARCLIFF PL  VALENCIA CA  91354,$663000.00,2285,5,3,1996,20172810048055,2016-06-20,pud,no,"(34.450426450000002, -118.54345302999999)"
43722,91354,27805 AMBERWOOD LN  VALENCIA CA  91354,$657900.00,2470,4,3,1997,20172810049005,2016-06-09,house,no,"(34.451960110000002, -118.54359305)"
43740,91354,28138 CASTILLO LN  VALENCIA CA  91354,$424999.00,1423,3,3,1999,20172810055167,2016-06-17,pud,no,"(34.458236990000003, -118.54588645)"
43742,91354,28109 CASTILLO LN  VALENCIA CA  91354,$470026.00,1672,3,3,1998,20172810055197,2016-06-16,pud,no,"(34.457815750000002, -118.54670513000001)"
43748,91354,28302 AZURITE PL  VALENCIA CA  91354,$452091.00,2700,4,3,1998,20172810057015,2016-06-20,pud,no,"(34.462833269999997, -118.54688526)"
43757,91354,28451 CALEX DR  VALENCIA CA  91354,$567653.00,2620,5,3,1998,20172810058048,2016-06-10,pud,no,"(34.465832810000002, -118.54818578)"
43769,91354,23423 ABBEY GLEN PL  VALENCIA CA  91354,$292206.00,1635,3,3,2001,20172810060053,2016-06-24,condo,no,"(34.461537040000003, -118.54580518)"
43779,91354,28206 CANTERBURY CT  VALENCIA CA  91354,$382500.00,1377,2,3,2001,20172810060128,2016-06-17,condo,no,"(34.460239340000001, -118.54692467)"
43789,91354,28467 MAYFAIR DR  VALENCIA CA  91354,$260930.00,1234,2,3,1998,20172810061042,2016-06-22,pud,no,"(34.465883859999998, -118.54472477)"
43808,91354,24243 BLOSSOM CT  VALENCIA CA  91354,$724200.00,2906,5,3,2000,20172810062033,2016-06-16,house,no,"(34.448744929999997, -118.56291175)"
43818,91354,24345 ASTOR RACING CT  VALENCIA CA  91354,$693498.00,2906,5,3,2001,20172810064044,2016-06-07,house,no,"(34.448607869999996, -118.56558472)"
43826,91354,27967 TRILLIUM LN  VALENCIA CA  91354,$400860.00,1349,2,2,2001,20172810066059,2016-06-06,condo,no,"(34.446695759999997, -118.56216938999999)"
43832,91354,24464 MONTEVISTA CIR  SANTA CLARITA CA  91354,$448800.00,1517,3,3,2001,20172810068012,2016-06-28,pud,no,"(34.447132629999999, -118.56642841)"
43847,91355,28017 SERRA LN  VALENCIA CA  91355,$367200.00,1315,2,2,2004,20172810069038,2016-06-27,condo,no,"(34.443938869999997, -118.57065513000001)"
43853,91355,24340 LORENZO LN  VALENCIA CA  91355,$484500.00,1936,3,3,2004,20172810069102,2016-06-30,condo,no,"(34.44294112, -118.56925337)"
43863,91354,27768 SUMMER GROVE PL  VALENCIA CA  91354,$474893.00,1720,3,3,2004,20172810071092,2016-06-03,pud,no,"(34.44655667, -118.55648591000001)"
43865,91354,27504 WEEPING WILLOW DR  VALENCIA CA  91354,$634440.00,2116,4,3,2003,20172810072002,2016-06-22,house,no,"(34.440568089999999, -118.55646848000001)"
43866,91354,27559 WEEPING WILLOW DR  VALENCIA CA  91354,$559980.00,1946,3,3,2004,20172810072007,2016-06-13,house,no,"(34.441171070000003, -118.55599201)"
43872,91354,27650 GRASSY KNOLL LN  VALENCIA CA  91354,$642498.00,2578,4,3,2004,20172810075002,2016-06-23,house,no,"(34.44296465, -118.55503649000001)"
43893,91355,24278 CABRILLO ST  VALENCIA CA  91355,$583907.00,2370,3,3,2003,20172810079041,2016-06-09,house,no,"(34.444609120000003, -118.56526497999999)"
43899,91355,27985 ALTA VISTA AVE  VALENCIA CA  91355,$554000.00,2056,3,3,2004,20172810080038,2016-06-20,house,no,"(34.44374311, -118.56938476000001)"
43903,91355,27885 MARIPOSA ST  VALENCIA CA  91355,$631380.00,2370,3,3,2004,20172810082004,2016-06-28,house,no,"(34.442435850000003, -118.56637927)"
43906,91355,27925 ALTA VISTA AVE  VALENCIA CA  91355,$591146.00,2370,3,3,2004,20172810082040,2016-06-24,house,no,"(34.44299358, -118.5681551)"
43908,91354,"23814 BALSA CT  VALENCIA, CA  91354",$463685.00,2430,3,3,2004,20172810083016,2016-06-08,house,no,"(34.456690209999998, -118.55257206)"
43912,91354,23761 FOREST VIEW CT  VALENCIA CA  91354,$586500.00,1693,2,2,2004,20172810085012,2016-06-07,house,no,"(34.455728260000001, -118.55278384)"
43916,91354,23718 ASPEN MEADOW CT  VALENCIA CA  91354,$314330.00,2287,2,3,2004,20172810086038,2016-06-03,pud,no,"(34.45594732, -118.55127865)"
43946,91354,24004 MARIPOSA PL  SANTA CLARITA CA  91354,$449820.00,1761,3,3,2004,20172810092064,2016-06-22,condo,no,"(34.438494679999998, -118.55652859999998)"
43947,91354,24012 MARIPOSA PL  SANTA CLARITA CA  91354,$466140.00,1761,3,3,2004,20172810092067,2016-06-22,condo,no,"(34.438494679999998, -118.55652859999998)"
43950,91354,27456 COLDWATER DR  SANTA CLARITA CA  91354,$397800.00,1352,2,2,2004,20172810092088,2016-06-02,condo,no,"(34.438494679999998, -118.55652859999998)"
43951,91354,27454 COLDWATER DR  SANTA CLARITA CA  91354,$491640.00,1858,3,3,2004,20172810092089,2016-06-03,condo,no,"(34.438494679999998, -118.55652859999998)"
43958,91354,27475 COLDWATER DR  SANTA CLARITA CA  91354,$494700.00,1858,3,3,2005,20172810092131,2016-06-13,condo,no,"(34.439606040000001, -118.55739536)"
43969,91354,"27339 OAKTREE PL  VALENCIA, CA  91354",$333659.00,1325,3,3,2004,20172810095005,2016-06-03,condo,no,"(34.435258830000002, -118.55696871000001)"
43984,91354,27307 CEDAR PL  VALENCIA CA  91354,$435540.00,1420,3,3,2004,20172810095127,2016-06-17,condo,no,"(34.435786530000001, -118.55968489)"
43986,91354,27327 CEDAR PL  VALENCIA CA  91354,$363000.00,1120,2,2,2004,20172810095132,2016-06-29,condo,no,"(34.435786530000001, -118.55968489)"
43992,91354,24088 MEADOWBROOK LN  VALENCIA CA  91354,$415000.00,1330,3,3,2005,20172810095161,2016-06-03,condo,no,"(34.435320320000002, -118.55826752999999)"
43993,91354,24048 MEADOWBROOK LN  VALENCIA CA  91354,$367200.00,1120,2,2,2005,20172810095171,2016-06-17,condo,no,"(34.434884830000001, -118.55775401)"
