,0,1
PublicRemarks,"Et consequatur alias consequatur reiciendis esse dolorum itaque dolor. Nulla non ut provident culpa consectetur velit ex. Nihil temporibus et voluptatem. Hic officiis a at ea ut praesentium. Corporis iste rerum eligendi eum distinctio ex aut.
 	Ipsam quod voluptas asperiores possimus nemo fugiat exercitationem praesentium. Occaecati cupiditate iusto dolorum. Voluptatem necessitatibus perferendis alias beatae.
 	Necessitatibus ut accusamus et enim. Et alias blanditiis ut. Aperiam at perspiciatis praesentium.
 	Et dolorum fuga dolor ducimus ipsum ex dolore. Possimus harum veritatis ut eaque distinctio nihil rerum quia. Atque et sit eum nihil et ratione. Est facilis libero facere dolorem reprehenderit totam reprehenderit et. Voluptatum consectetur eaque quidem velit eum ducimus perspiciatis.","Sapiente reiciendis iste dolorem reiciendis neque ipsum alias. In incidunt at qui quia. Tempore vero aut et repellat aut. Voluptatem et iure suscipit.
 	Nobis aut ipsa eligendi saepe delectus. Saepe labore non itaque dolorem consequatur ratione id. Numquam qui ex rerum aliquid et rerum. Quisquam vel amet quis officia. Vitae esse sit qui labore iusto nostrum expedita sed.
 	Qui quo ipsum at est quia assumenda iure fugit. Et accusantium dolores nihil rem. Rerum sed provident corporis enim hic dolorum velit incidunt.
 	Aliquam minima fugit rerum dicta mollitia aut sapiente ut. Et consequuntur officiis sapiente quod reiciendis voluptatem. Non atque qui praesentium saepe quidem doloremque consequatur."
PublicSurveyRange,,
PublicSurveySection,,
PublicSurveyTownship,,
PurchaseContractDate,,
RVParkingDimensions,,
RangeArea,,
RentControlYN,,
RentIncludes,,
RoadFrontageType,['Freeway frontage'],['Freeway frontage']
RoadResponsibility,,"['City', 'County']"
RoadSurfaceType,Cement,Asphalt
Roof,['Metal'],"['Metal', 'Gravel']"
RoomsTotal,22,3
SeatingCapacity,,
SecurityFeatures,,
SeniorCommunityYN,False,False
SerialU,,
SerialX,,
SerialXX,,
Sewer,['Septic'],['Yes Connected']
ShowingContactName,Kip Jessyca Lesch,Haven Clinton Altenwerth
ShowingContactPhone,872.541.2428,606-859-0954 x8446
ShowingContactPhoneExt,,
ShowingContactType,Agent,Broker
ShowingInstructions,"Ut quos porro tempore eos est architecto. Blanditiis recusandae sed qui voluptas quo soluta fugiat. Natus exercitationem voluptates aperiam nihil sed.
 	Nulla laudantium assumenda consectetur. Ipsa voluptatem sint molestiae unde. Dolor sint molestiae et. Temporibus natus amet odit quas est neque quas occaecati. Deleniti et optio et.
 	Aut magni rerum similique. Exercitationem molestias voluptatibus ut soluta a. Perferendis officiis omnis perferendis quia ab.
 	Non mollitia alias eos veritatis nemo a voluptates inventore. Qui asperiores et labore. Dicta et occaecati ex non asperiores minus aliquid et.","Nemo nihil dignissimos delectus eius. Earum consequuntur sapiente nihil. Nobis saepe autem expedita iusto.
 	Eligendi est et et distinctio maiores accusamus quia id. Earum et libero ut corrupti. Tenetur earum autem est quod laboriosam.
 	Alias qui veniam voluptas ut eos. Eius molestiae in non aut eveniet. Dignissimos alias molestiae perspiciatis quaerat est porro. Ipsam maiores numquam iure tenetur ipsam non.
 	Ab blanditiis laborum aperiam in et. Et quibusdam hic hic veritatis ut rem sint. In et sint possimus optio."
SignOnPropertyYN,False,True
Skirt,,
SourceSystemID,,
SourceSystemKey,,
SourceSystemName,,
SpaFeatures,,
SpecialLicenses,,
SpecialListingConditions,"['Standard', 'REO', 'Short Sale', 'Probate']","['Standard', 'REO', 'Short Sale']"
StandardStatus,Active,Active
StateOrProvince,CA,CA
StateRegion,,
StatusChangeTimestamp,2018-05-11T20:49:26.369Z,2018-05-11T20:50:27.653Z
Stories,1,1
StoriesTotal,3,3
StreetAdditionalInfo,,
StreetDirPrefix,,
StreetDirSuffix,,
StreetName,15th St,15th St
StreetNumber,1637,1684
StreetNumberNumeric,,
StreetSuffix,,
StreetSuffixModifier,,
StructureType,,
SubAgencyCompensation,,
SubAgencyCompensationType,,
SubdivisionName,dolorum,atque
SuppliesExpense,,
SyndicateTo,"['Zillow', 'Trulia', 'hotspads.com']","['Zillow', 'Trulia']"
SyndicationRemarks,,
TaxAnnualAmount,625502,113700
TaxAssessedValue,765384,833605
TaxBlock,Lot 19 of Block 45 of Tract 4879 of Lake Talon,Lot 91 of Block 42 of Tract 1520 of Larkinside
TaxBookNumber,,
TaxExemptions,,
TaxLegalDescription,"Reprehenderit animi qui dolor maiores sit eaque. Omnis sed ut sed ipsam. Possimus quia maiores dignissimos sed odit sit dolores dolor. Iste reiciendis nemo ducimus in. Occaecati est voluptate nobis sapiente sunt quae reiciendis.
 	Distinctio harum libero molestiae. Quia unde reprehenderit incidunt nostrum est. Sit sint voluptas quae corporis et et.","Reiciendis in laboriosam doloremque. Dolorum numquam et eos. Provident esse unde totam deleniti. Qui ad voluptas nihil minima dolor unde molestiae repellendus. Assumenda eaque saepe cumque quia atque cumque optio.
 	Enim enim eligendi corrupti esse ipsa non qui aut. Consectetur sint eum eius molestiae necessitatibus in velit mollitia. Et et ut et consequuntur a ipsum exercitationem. Qui unde fugit velit. Qui corrupti reprehenderit aut rerum."
TaxLot,Lot 30 of Block 85 of Tract 3626 of Reicherthaven,Lot 74 of Block 23 of Tract 3112 of Townebury
TaxMapNumber,,
TaxOtherAnnualAssessmentAmount,,
TaxParcelLetter,,
TaxStatusCurrent,,['Assessed']
TaxTract,Lot 31 of Block 86 of Tract 4318 of New Weldon,Lot 37 of Block 0 of Tract 4293 of West Moshe
TaxYear,2017,2017
Telephone,['Available'],['Available']
TenantPays,,
Topography,,
TotalActualRent,,
Township,,
TransactionBrokerCompensation,,
TransactionBrokerCompensationType,,
TrashExpense,,
UnitNumber,#466,#324
UnitsFurnished,,
UnparsedAddress,"1637 15th St, San Francisco, CA 94103","1684 15th St, San Francisco, CA 94103"
Utilities,,
VacancyAllowance,,
VacancyAllowanceRate,,
Vegetation,,
VideosChangeTimestamp,,
VideosCount,,
View,['View'],['View']
ViewYN,True,False
VirtualTourURLBranded,,
VirtualTourURLUnbranded,,
WalkScore,,
Walkscore,53,6
WaterBodyName,,
WaterSewerExpense,,
WaterSource,['Municipal'],"['Municipal', 'Irrigation District', 'Private Utility']"
WaterfrontFeatures,,
WaterfrontYN,False,True
WindowFeatures,,
WithdrawnDate,,
WoodedArea,,
WorkmansCompensationExpense,,
YearBuilt,2004,1995
YearBuiltDetails,Amet possimus ut quasi ea. Assumenda quam ad non sequi molestias voluptatem. Aliquam magni explicabo maxime.,Dolorem dolores non aperiam et ut. Numquam in magni aspernatur. Corporis laudantium itaque eum ea. Voluptatibus ullam maxime beatae.
YearBuiltEffective,,
YearBuiltSource,Estimate,Estimate
YearEstablished,,
YearsCurrentOwner,,
Zoning,IH,GU
ZoningDescription,Rezone Possible,Agricultural
distanceFrom,0.716679268879985,0.728776572820364
url,https://rets.io/api/v2/test/listings/P_5af601d6fc76173b3482befe,https://rets.io/api/v2/test/listings/P_5af60213fc76173b3483627d
